,height,O3,O3_SICE,vaa,vza,Oa01_reflectance,Oa02_reflectance,Oa03_reflectance,Oa04_reflectance,Oa05_reflectance,Oa06_reflectance,Oa07_reflectance,Oa08_reflectance,Oa09_reflectance,Oa10_reflectance,Oa11_reflectance,Oa12_reflectance,Oa13_reflectance,Oa14_reflectance,Oa15_reflectance,Oa16_reflectance,Oa17_reflectance,Oa18_reflectance,Oa19_reflectance,Oa20_reflectance,Oa21_reflectance,saa,sza,x,y,site,date
0,1077.0,0.0075458996,999.0,111.4327,8.752606,0.7268,0.7234,0.7154,0.7001,0.6831,0.6358,0.6238,0.6521,0.6571,0.6584,0.6493,0.6388,0.1992,0.3271,0.5549,0.6148,0.5815,0.5525,0.4539,0.2738,0.3967,162.81511,45.688736,-190993.69271800006,-2508325.33282945,JCa,2017-07-10 14:28:42
1,1077.0,0.0075458996,999.0,111.4327,8.752606,0.7268,0.7234,0.7154,0.7001,0.6831,0.6358,0.6238,0.6521,0.6571,0.6584,0.6493,0.6388,0.1992,0.3271,0.5549,0.6148,0.5815,0.5525,0.4539,0.2738,0.3967,162.81511,45.688736,-190637.75224765067,-2508362.134565711,JCb,2017-07-10 14:28:42
2,1081.0,0.007546911,327.01718,111.39097,8.920771,0.6302,0.6219,0.6022,0.5742,0.555,0.5066,0.4853,0.5002,0.5043,0.5043,0.4918,0.4795,0.1471,0.2394,0.4132,0.4585,0.4286,0.4059,0.3323,0.1966,0.291,162.75778,45.70083,-193020.76966118268,-2507794.6404628633,S6_GRL,2017-07-10 14:28:42
3,1078.0,0.0075504226,999.0,111.39582,8.878873,0.7403,0.7389,0.7347,0.7275,0.7119,0.6657,0.6567,0.6904,0.6967,0.6982,0.6891,0.6799,0.2167,0.3505,0.5908,0.6543,0.6194,0.5909,0.489,0.2993,0.4311,162.76123,45.691574,-192927.2049532214,-2507933.4347865228,S6_RW,2017-07-10 14:28:42
4,1078.0,0.0075504226,999.0,111.39582,8.878873,0.7403,0.7389,0.7347,0.7275,0.7119,0.6657,0.6567,0.6904,0.6967,0.6982,0.6891,0.6799,0.2167,0.3505,0.5908,0.6543,0.6194,0.5909,0.489,0.2993,0.4311,162.76123,45.691574,-192919.7037445744,-2508056.5266238092,S6_HHGPS,2017-07-10 14:28:42
5,1083.0,0.007362932,999.0,105.56698,28.201387,0.6943,0.6885,0.6749,0.6545,0.6363,0.5877,0.5735,0.6008,0.6051,0.6072,0.5991,0.5866,0.1565,0.2808,0.5085,0.5579,0.5169,0.4838,0.3914,0.2173,0.3122,154.5635,46.74478,-190993.69271800006,-2508325.33282945,JCa,2017-07-11 14:02:31
6,1083.0,0.007362932,999.0,105.56698,28.201387,0.6943,0.6885,0.6749,0.6545,0.6363,0.5877,0.5735,0.6008,0.6051,0.6072,0.5991,0.5866,0.1565,0.2808,0.5085,0.5579,0.5169,0.4838,0.3914,0.2173,0.3122,154.5635,46.74478,-190637.75224765067,-2508362.134565711,JCb,2017-07-11 14:02:31
7,1085.0,0.0073597715,999.0,105.51862,28.358406,0.7394,0.7381,0.7301,0.7184,0.7003,0.6537,0.6388,0.6691,0.6733,0.6744,0.6635,0.6473,0.1737,0.3088,0.5615,0.6194,0.5787,0.5453,0.4423,0.2447,0.3714,154.50151,46.76107,-193020.76966118268,-2507794.6404628633,S6_GRL,2017-07-11 14:02:31
8,1083.0,0.0073619895,999.0,105.52615,28.32354,0.6987,0.6942,0.6806,0.6635,0.6474,0.5996,0.5894,0.6178,0.6228,0.6227,0.6169,0.603,0.1633,0.2905,0.5263,0.577,0.5371,0.5049,0.4086,0.2274,0.339,154.50687,46.75189,-192927.2049532214,-2507933.4347865228,S6_RW,2017-07-11 14:02:31
9,1083.0,0.0073619895,999.0,105.52615,28.32354,0.6987,0.6942,0.6806,0.6635,0.6474,0.5996,0.5894,0.6178,0.6228,0.6227,0.6169,0.603,0.1633,0.2905,0.5263,0.577,0.5371,0.5049,0.4086,0.2274,0.339,154.50687,46.75189,-192919.7037445744,-2508056.5266238092,S6_HHGPS,2017-07-11 14:02:31
