x y latitude longitude sza saa vza vaa Oa01_reflectance Oa02_reflectance Oa03_reflectance Oa04_reflectance Oa05_reflectance Oa06_reflectance Oa07_reflectance Oa08_reflectance Oa09_reflectance Oa10_reflectance Oa11_reflectance Oa12_reflectance Oa13_reflectance Oa14_reflectance Oa15_reflectance Oa16_reflectance Oa17_reflectance Oa18_reflectance Oa19_reflectance Oa20_reflectance Oa21_reflectance altitude total_ozone
0 0 72.8945 -54.3011 52.3905 145.6388 53.3583 94.4714 0.8063 0.8070 0.8099 0.8020 0.7799 0.7137 0.7002 0.7550 0.7628 0.7672 0.7472 0.7538 0.1720 0.3580 0.6738 0.7391 0.7247 0.7092 0.5097 0.1905 0.6515 231.0000 0.0083
1 0 72.8995 -54.2912 49.9248 175.2191 7.9271 118.1885 0.6683 0.6736 0.6858 0.6888 0.6746 0.6314 0.6079 0.6272 0.6302 0.6306 0.6009 0.5653 0.1394 0.2464 0.4717 0.5343 0.4849 0.4515 0.3333 0.1381 0.2867 304.0000 0.0082
2 0 72.8957 -54.2952 50.1451 167.3839 22.3900 112.0722 0.6470 0.6532 0.6718 0.6820 0.6723 0.6362 0.6046 0.6095 0.6095 0.6079 0.5741 0.5007 0.1121 0.2035 0.3998 0.4545 0.3736 0.3252 0.2503 0.1166 0.1204 198.0000 0.0069
3 0 72.8942 -54.2898     0.6897 0.6938 0.6999 0.6970 0.6783 0.6191 0.5719 0.5688 0.5686 0.5644 0.5183 0.4455 0.1046 0.1988 0.3700 0.3911 0.3057 0.2555 0.1783 0.0646 0.0712 308.0000 0.0083
4 0 72.8951 -54.2919     0.6413 0.6505 0.6727 0.6856 0.6744 0.6278 0.5869 0.5846 0.5857 0.5823 0.5364 0.4620 0.1131 0.2097 0.3816 0.4083 0.3238 0.2733 0.1911 0.0688 0.0870 268.0000 0.0086
5 0 72.8926 -54.2893 51.3644 151.8708 45.9589 99.7825 0.7338 0.7328 0.7397 0.7360 0.7153 0.6565 0.6136 0.6237 0.6254 0.6233 0.5741 0.5082 0.1154 0.2234 0.4283 0.4597 0.3783 0.3283 0.2182 0.0682 0.1342 312.0000 0.0082
6 0 72.8949 -54.2983 49.6859 -178.2673 4.5962 -56.5382 0.6776 0.6742 0.6712 0.6603 0.6415 0.5932 0.5787 0.6070 0.6105 0.6125 0.6007 0.5972 0.1980 0.3279 0.5351 0.5859 0.5728 0.5606 0.4714 0.2971 0.5152 207.0000 0.0082
7 0 72.8926 -54.2982 52.3354 144.2859 54.4504 93.5902 0.8197 0.8131 0.8021 0.7786 0.7536 0.6893 0.6798 0.7253 0.7331 0.7354 0.7357 0.7431 0.3013 0.4795 0.7030 0.7357 0.7343 0.7277 0.6543 0.4979 0.7033 207.0000 0.0076
8 0 72.8984 -54.2897 49.7091 173.8605 10.0230 117.3245 0.8188 0.8212 0.8177 0.8087 0.7891 0.7405 0.7320 0.7716 0.7777 0.7801 0.7752 0.7830 0.3012 0.4609 0.7124 0.7749 0.7704 0.7605 0.6714 0.4903 0.7104 326.0000 0.0073
9 0 72.8930 -54.3001 50.0017 166.0033 24.3619 111.2003 0.6933 0.6915 0.6850 0.6702 0.6507 0.5990 0.5711 0.5879 0.5912 0.5911 0.5629 0.5470 0.1320 0.2373 0.4608 0.5223 0.4900 0.4677 0.3533 0.1729 0.3814 222.0000 0.0082
10 0 72.8930 -54.2882 50.5562 158.2121 36.9606 105.0683 0.6857 0.6808 0.6714 0.6496 0.6270 0.5688 0.5300 0.5378 0.5395 0.5379 0.5022 0.4715 0.1115 0.2177 0.4086 0.4432 0.3967 0.3677 0.2591 0.1009 0.2495 336.0000 0.0073
11 0 72.8962 -54.2976 49.6893 -171.7845 16.0406 -51.2984 0.5997 0.5962 0.5910 0.5804 0.5635 0.5204 0.4951 0.5079 0.5098 0.5095 0.4881 0.4697 0.1348 0.2395 0.4157 0.4514 0.4239 0.4046 0.3218 0.1791 0.3421 204.0000 0.0076
12 0 72.8940 -54.2827 51.3631 150.5109 47.2957 98.9011 0.7573 0.7550 0.7558 0.7458 0.7262 0.6680 0.6386 0.6590 0.6628 0.6626 0.6332 0.6046 0.1379 0.2722 0.5247 0.5754 0.5315 0.5000 0.3639 0.1455 0.3406 324.0000 0.0071
13 0 72.8939 -54.2936 49.5149 -179.6355 2.5679 -57.4018 0.6532 0.6544 0.6633 0.6636 0.6521 0.6065 0.5774 0.5879 0.5899 0.5868 0.5590 0.5256 0.1393 0.2544 0.4507 0.4980 0.4551 0.4251 0.3208 0.1464 0.2852 232.0000 0.0071
14 0 72.8976 -54.2841 49.6109 172.4833 12.1164 116.4346 0.7538 0.7537 0.7547 0.7524 0.7380 0.6951 0.6928 0.7295 0.7376 0.7405 0.7328 0.7413 0.2686 0.4290 0.6744 0.7333 0.7319 0.7254 0.6218 0.4114 0.6979 333.0000 0.0072
15 0 72.8923 -54.3019 49.9757 164.6245 26.2859 110.3262 1.0170 1.0189 1.0252 1.0211 1.0036 0.9526 0.9550 1.0099 1.0165 1.0220 1.0292 1.0413 0.5579 0.7343 0.9827 1.0342 1.0391 1.0372 0.9919 0.8980 0.9828 236.0000 0.0070
